Title,Category,Duration,Rating,Rating Count,Director,Creator,Writer,Stars,Language,Country,Release Date,Filming Location,Description,Story
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Doctor Strange,"Action,Adventure,Fantasy",115 min,8.7,789,Scott Derrickson,,"Jon Spaihts,Scott Derrickson","Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams",English,USA,", 4 November 2016 (USA)
    ,","New York City, New York, USA",A former neurosurgeon embarks on a journey of healing only to be drawn into the world of the mystic arts.,"Marvel's ""Doctor Strange"" follows the story of the talented neurosurgeon Doctor Stephen Strange who, after a tragic car accident, must put ego aside and learn the secrets of a hidden world of mysticism and alternate dimensions. Based in New York City's Greenwich Village, Doctor Strange must act as an intermediary between the real world and what lies beyond, utilising a vast array of metaphysical abilities and artifacts to protect the Marvel Cinematic Universe.                ,"
"Miss Peregrine's Home for Peculiar Children ,","Adventure,Drama,Family",2h 7min,7.1,"24,330",Tim Burton,,"Ransom Riggs,Jane Goldman","Eva Green,Asa Butterfield,Samuel L. Jackson",English,"USA,UK,Belgium",", 30 September 2016 (USA)
    ,","Sun City Center, Florida, USA","When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.","When Jacob discovers clues to a mystery that spans different worlds and times, he finds a magical place known as Miss Peregrine's Home for Peculiar Children. But the mystery and danger deepen as he gets to know the residents and learns about their special powers... and their powerful enemies. Ultimately, Jacob discovers that only his own special ""peculiarity"" can save his new friends.                ,"
"Kevin Hart: What Now? ,","Documentary,Comedy",1h 36min,5.7,632,"Leslie Small,Tim Story",,"Kevin Hart,Joey Wells","Kevin Hart,Don Cheadle,Halle Berry",English,USA,", 14 October 2016 (USA)
    ,","Lincoln Financial Field, 1020 Pattison Ave., Philadelphia, Pennsylvania, USA","Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.","Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field."
The Girl on the Train,"Mystery,Thriller",112 min,6.7,"16,628",Tate Taylor,,"Erin Cressida Wilson,Paula Hawkins","Emily Blunt,Haley Bennett,Rebecca Ferguson",English,USA,", 7 October 2016 (USA)
    ,","Hastings-on-Hudson, New York, USA",A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,"The Girl on the Train is the story of Rachel Watson's life post-divorce. Every day, she takes the train in to work in New York, and every day the train passes by her old house. The house she lived in with her husband, who still lives there, with his new wife and child. As she attempts to not focus on her pain, she starts watching a couple who live a few houses down -- Megan and Scott Hipwell. She creates a wonderful dream life for them in her head, about how they are a perfect happy family. And then one day, as the train passes, she sees something shocking, filling her with rage. The next day, she wakes up with a horrible hangover, various wounds and bruises, and no memory of the night before. She has only a feeling: something bad happened. Then come the TV reports: Megan Hipwell is missing. Rachel becomes invested in the case and trying to find out what happened to Megan, where she is, and what exactly she herself was up to that same night Megan went missing."
"The Accountant ,","Action,Crime,Drama",2h 8min,7.8,"9,098",Gavin O'Connor,,Bill Dubuque,"Ben Affleck,Anna Kendrick,J.K. Simmons",English,USA,", 14 October 2016 (USA)
    ,","Atlanta, Georgia, USA","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.","Christian Wolff is a math savante with more affinity for numbers than people. Behind the cover of a small-town CPA office, he works as a freelance accountant for some of the world's most dangerous criminal organizations. With the Treasury Department's Crime Enforcement Division, run by Ray King, starting to close in, Christian takes on a legitimate client: a state-of-the-art robotics company where an accounting clerk has discovered a discrepancy involving millions of dollars. But as Christian uncooks the books and gets closer to the truth, it is the body count that starts to rise.                ,"
School of Rock,"Comedy,Family,Musical",30min,4.5,361,,"Jim Armogida,Steve Armogida",,"Breanna Yde,Ricardo Hurtado,Jade Pettyjohn",English,USA,", 2016 (USA)
    ,","Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA","Misadventures of Dewey Finn, a rocker who poses as a substitute teacher at a prestigious prep school as he teaches his unconventional and overachieving students to play and love rock 'n' roll.","Misadventures of Dewey Finn, a rocker who poses as a substitute teacher at a prestigious prep school as he teaches his unconventional and overachieving students to play and love rock 'n' roll."
Dirk Gently's Holistic Detective Agency,"Comedy,Sci-Fi",1h,,,,Max Landis,,"Christian Bako,Samuel Barnett,Neil Brown Jr.",English,"USA,UK",", 22 October 2016 (USA)
    ,","Vancouver, British Columbia, Canada","Centers on the titular holistic detective who investigates cases involving the supernatural. Based on the ""Dirk Gently's Holistic Detective Agency"" novel series, written by Douglas Adams ...
                    , »","Centers on the titular holistic detective who investigates cases involving the supernatural. Based on the ""Dirk Gently's Holistic Detective Agency"" novel series, written by Douglas Adams and published by Simon and Schuster in 1987."
